RevTotal1,RevTotal2,RevTotal3,RevTotal4,RevTotal5,AssetsTotal1,AssetsTotal2,AssetsTotal3,AssetsTotal4,AssetsTotal5,RevTotal6?
624943,192,79,316,175,8391945,7855746,7321399,6811549,6353260,
900322,598121,664863,1154032,1874479,290264,134310,98679,423968,454667,
23752891,18025197,11479984,12569222,14285535,10885978,9193524,7051267,5793482,7925851,
2135149,1987796,1889619,2010319,2063494,13593598,10545751,10846773,11027615,14408311,
38470,38470,38470,38470,43908,782819,782819,782819,782819,784819,
540640,561389,569208,578726,634484,12789683,13233377,13202979,13573427,14089808,
13598950,13749467,16935005,12384474,11349706,19589798,18783671,17494554,16221469,14841846,
1301323,1259249,3722850,215561,189618,5290907,5361223,137815,118723,133237,
367611,295276,427968,427870,455258,483432,482080,478117,491706,507830,
26672,27544,28546,29769,35308,727157,754701,783247,813016,848324,
800980,793754,1375619,1299940,1264414,4801526,4213431,4318007,4527811,3858047,
1991434,2003264,2022936,3285588,3052401,5411050,5173653,4978722,5989419,6303674,
50560,102307,24976,31095,7525,476020,602585,577342,611520,224778,
810446,818039,818886,15901,0,1847160,1796393,1777383,3672790,3672790,
1229519,1131003,1201580,1053161,1445946,1073821,749704,1080020,1049747,1398440,
1600000,1600000,1600000,1600000,1600000,0,0,0,0,0,
1381527,1388782,1337342,1527599,1385444,799508,1054563,836138,979008,1494877,
98771,103801,103457,107325,111999,1934315,2010615,2108679,2211541,2320922,
1655731,1627142,1693368,1685459,7873027,4804868,4578407,4662350,4556405,103700,
386347,376301,396810,398415,1861088,1306521,1270026,1205712,1164544,780199,
32207733,31834289,33445427,36971543,39475315,20122726,20111184,17886356,19798635,23323979,
1459223,1442965,1438474,1383610,1401194,851200,729673,965341,1120914,1037572,
1132264,1090678,930749,1022538,1178669,4270328,4254709,4205554,4075394,3813885,
464641,475375,526599,487636,462812,500950,603871,472198,413133,403398,
466854,477066,325657,336008,346646,1569408,1672727,1592280,1396891,1585027,
1845472,2209982,2005011,1806963,1959164,1970899,2612240,2643654,2667608,2572679,
1245929,1244584,1200417,1217847,1219943,3868435,3832284,3764416,3755540,3790995,
889375,784880,789420,848790,790030,2976101,3016373,3106541,3734847,4076316,
3721562,4851129,4459550,5088851,5032465,5433367,6742747,6552972,6729751,7052585,
1155217,1252018,1304826,1096337,1063207,294089,359581,386520,332834,488831,
0,0,0,581489,308150,0,0,0,7551206,8174022,
740194,1059347,931161,568381,739463,7056394,6591041,6690780,6218330,5905648,
317345,322249,322371,322249,322249,6842257,7093423,7414405,7736545,8058794,
975330,987169,993811,1027854,1202064,3493996,2680841,2356660,1983137,1974034,
291208,302073,313600,325546,342692,6398942,6561812,6874137,7199683,7542375,
5426298,7005157,8794163,11906127,12065703,10545842,11078941,12090552,13292233,14939147,
