42784016,42983933,44596220,50216998,48638926,5.14E+07
7735155,7872897,8003992,8106514,8436565,8.73E+06
1317911,1425117,1706279,1504703,1549705,1.40E+06
2554220,2178866,2453641,3010905,2305346,2.16E+06
1395791,1400804,1512464,1499149,1517662,1.40E+06
2655047,2720068,2725218,2729045,2782772,2.84E+06
1100189,1116715,1130855,1163860,1188297,1.40E+06
251405,246902,242194,229780,318978,5.13E+05
11593221,9195064,15233670,8228855,9183460,9.17E+06
124445148,154605230,183072283,59908872,203657710,6.18E+07
2775653,4912821,7398607,7600922,7989776,8.73E+06
4053835,3332662,7359996,2894881,3410833,2.73E+06
500341,499013,241,130,317,3.40E+05
2118143,1771185,2329301,1909822,2452686,2.08E+06
21494767,27529147,34653725,43822817,41412403,4.67E+07
20652598,23019320,25453772,28065878,30363241,2.43E+07
1093459,1120499,1170604,1194731,1197711,1.40E+06
6192961,1875594,1993017,2000898,1861678,2.03E+06
5133379,1322295,5230403,11938201,10102313,8.32E+06
469446,488948,486088,477892,428353,5.13E+05
0,0,108488,406828,254970,3.40E+05
614004,559111,735606,755847,739638,6.60E+05
121893,-274069,-851358,-680752,5469048,9.01E+05
7027,-12749,106887,-56146,1093172,5.49E+05
463540,461203,467342,471169,459646,5.13E+05
4866918,4853563,5435275,3226469,5804712,5.13E+06
1732614,2621777,1531723,1537353,7072851,1.40E+06
3131277,3297113,2842580,2903237,3662807,2.84E+06
42461593,3082174,3274193,6618048,4128031,2.73E+06
354824,1107617,475961,431236,468905,5.49E+05
3017938,2963960,3170269,3163798,3213911,2.84E+06
4865093,2284148,2189395,3044260,3449668,2.84E+06
2545651,2545716,2455765,2514849,2445253,2.16E+06
1892002,141755907,5818276,18411,21533,1.22E+07
1100057,1205439,1215464,1224537,1288406,1.40E+06
45944,45944,45943,45944,45943,3.40E+05
2756011,2802952,2823888,2864616,2931205,2.84E+06
2214035,2570729,3100388,2192563,2764082,2.84E+06
543568,437531,319892,310613,301489,5.49E+05
42732819,54628157,59351594,80113763,215858879,6.18E+07
282886,655737,306423,317893,323701,5.13E+05
56666,57175,56800,57755,56067,3.40E+05
169096,170391,186026,191231,192122,3.40E+05
954256,977328,1013026,1053051,1107588,1.40E+06
219604,218792,369351,224914,225060,6.60E+05
2126456,2601724,2166508,2101337,2128634,2.03E+06
1576399,1649106,1671435,1688251,1699218,2.03E+06
13200,13200,13200,11853,13200,3.40E+05
246427,246427,246427,246424,246428,5.13E+05
475,564,563,564,56470,3.40E+05
7300221,8522793,8867502,8423937,7362299,5.13E+06
125298,227679,191468,144565,149381,5.13E+05
3018957,3109780,3359027,3412423,3580745,2.84E+06
48767417,54384842,57396963,60413281,61322643,6.18E+07
9154847,9130557,9230487,9605483,9984759,8.73E+06
5423257,5648819,5543867,5161537,5501011,5.13E+06
338221,340566,340566,340566,340566,5.13E+05
1501028,2297272,2450436,2368116,2660615,2.16E+06
1063267,1155163,1179043,1191210,1196464,1.40E+06
1879399,1899552,22334989,953255,945531,7.67E+06
353173,384988,522756,455052,436599,5.13E+05
212318,162895,180465,322021,189827,5.13E+05
112753,112631,110006,108636,112769,3.40E+05
105600,111646,112479,108393,107250,3.40E+05
270442,419126,81904,215975,2842953,5.13E+05
440747,513949,607033,533284,694885,5.49E+05
11897292,11893358,12035065,11864048,11207077,1.08E+07
722027,715442,680271,634605,616924,6.60E+05
76030,69901,225470,251715,121468,3.40E+05
577921,947761,598969,669914,1274838,9.01E+05
2344190,2494506,2279014,2452848,2679285,2.16E+06
1340873,1448820,1423329,3329311,122026,6.60E+05
325815,320877,316443,312187,0,5.13E+05
32545160,35771576,39859576,45781121,46945105,4.67E+07
2507738,2550786,2604251,2736429,3510646,2.84E+06
1589200,1591244,1780651,1829314,1848009,2.03E+06
277660,205951,429625,282000,253924,6.60E+05
7350600,7322218,8363409,11714748,7380820,5.13E+06
2133689,2054497,2103936,2071881,2126166,2.03E+06
351211,389354,400431,392006,530573,5.13E+05
1180406,1200943,1260703,1295391,1406357,1.40E+06
1680604,576285,710505,1806917,2133408,2.03E+06
-107148,-215197,-84189,-143119,-245365,6.60E+05
601282,830083,2009135,580337,738473,9.01E+05
3063334,3307615,3521190,3637178,4142308,2.73E+06
10000,10000,10000,10000,10000,3.40E+05
3435572,2943995,2985582,3492412,3804173,2.73E+06
1145123,1168266,1548046,1231662,1079242,1.40E+06
